overcom	pdetach	rumin
0.298632	-0.581684	0.656209
-1.130259	1.261437	-1.015793
0.579081	-0.689918	0.257204
-0.805259	1.173313	-2.740648
0.291932	-0.011155	0.172539
-1.546148	1.442775	-1.57903
-1.43806	1.62342	-0.79349
0.897172	0.033196	0.910755
-1.950437	1.319688	-1.188097
-0.975651	0.166672	-0.179039
-0.16892	0.446606	0.410938
1.728922	-1.995701	0.488988
0.938711	-0.28739	0.439477
2.014421	-0.796539	1.246901
-0.661145	-0.057214	-0.336139
0.597897	-0.333715	0.946687
0.732852	-0.622822	0.926522
-0.789759	1.121577	-0.774941
0.329678	0.638009	0.823321
-0.002713	-0.764506	0.445817
-0.518102	0.602779	-1.351723
-0.437188	-0.469544	-0.15698
-0.329073	1.066779	-0.073513
-0.875848	0.364071	-0.125375
0.160498	-0.749423	0.201327
-1.971257	1.015682	-2.37785
0.300349	-0.37508	0.415853
1.933434	-1.412207	1.773524
0.906874	-0.656691	0.953961
-0.25651	-0.145748	-0.424868
0.032144	0.849002	0.067926
-0.156091	-0.329717	-0.185545
-1.285256	0.241243	-0.835923
-0.500085	-0.808461	0.038852
-0.640257	0.35754	-0.099067
-0.056068	0.556485	-0.419022
-0.00545	-0.65152	0.518654
1.666692	-2.334166	0.879694
-0.506297	1.034738	-0.437944
0.074184	-0.977094	-0.607191
0.148569	-0.076361	0.513156
0.799023	-0.212224	0.613229
0.518872	-0.610414	0.297932
0.158656	-0.0836	0.412788
0.592854	0.10433	0.458472
0.821325	-0.305108	0.816541
-0.538576	1.556498	-0.836483
0.337129	0.144068	0.66008
0.684467	-0.202915	0.709862
0.416914	-1.176691	0.340135
-0.817351	0.565465	-0.780398
-0.306276	0.321078	0.454261
1.256778	-1.478183	1.39791
0.852452	-0.236507	0.737127
-0.214006	1.148201	-0.234238
-0.189003	-0.261202	-1.062041
-0.037503	0.302065	-0.166295
1.289556	-1.354529	0.883459
-0.022008	1.170132	0.339916
1.039947	-0.130479	0.621174
-1.874716	1.406467	-0.990906
-0.16964	1.060264	-0.544658
-0.450715	1.276877	-0.361133
-1.482563	1.680992	-0.878422
1.599459	-0.96875	1.27778
0.83016	-0.871389	0.519328
-0.986425	0.724131	0.306004
-0.031777	-0.194599	-0.5893
1.709404	-1.487986	1.589806
0.459592	-0.619493	0.1267
0.837541	-0.927675	-0.126253
-0.235743	0.727624	-0.838233
-1.80071	1.523765	-1.601494
-1.216303	1.361678	-2.575665
0.320993	-0.723082	0.265469
0.403185	-0.660515	0.588643
-0.440416	0.956346	-0.870725
0.566111	-0.994361	0.681265
-0.587325	0.916645	-0.388686
0.720264	-0.509421	0.395623
-0.613118	0.358114	-0.528101
0.281551	-0.810182	0.675075
0.971557	-0.657593	0.899003
0.890447	-0.173576	0.690303
0.200328	-0.292031	0.548252
0.468296	-1.438294	-0.26231
-0.632467	0.492913	0.461047
-0.914387	0.614264	-1.420861
-0.717876	0.195703	-1.268784
-1.224767	0.721913	-0.089305
-0.290328	0.779892	-0.798633
0.818003	-1.107043	-0.221571
-0.600678	0.123456	-0.094584
-1.038115	1.523583	-0.939923
-0.032395	0.371919	-0.850187
-0.042937	0.743354	-0.240664
-0.870401	0.41278	-0.558093
0.476625	-0.630667	0.312588
0.346062	0.03667	0.573925
-0.34651	-0.138495	-0.679448
0.245107	-1.185753	-0.124177
0.763518	-0.471488	0.699668
-0.762964	0.629363	-1.109991
-0.26772	1.075372	-0.367007
-1.561173	1.70847	-0.447488
-0.246909	-0.227223	0.554274
-0.943125	0.706395	0.723129
0.823943	-0.166011	0.170231
0.335871	-0.64624	0.232986
-0.431291	-0.215185	-0.668916
-0.812099	0.598185	-0.388349
-1.922532	1.644938	-0.576225
-0.108581	-1.071124	1.110291
0.782426	-0.302777	0.826427
0.128495	0.985556	0.088955
-0.478503	0.053309	0.069386
0.174304	-1.443594	-1.137331
-0.374966	-0.350815	0.0109
0.104172	1.367096	-0.350532
0.197679	0.501707	0.018441
-0.293889	0.700415	0.274673
-0.796939	1.108352	-1.848288
0.369371	-0.810018	-0.025885
-1.507445	1.270005	-1.336696
0.085531	-0.84593	-0.798493
0.551478	-0.379515	0.707751
-1.166061	0.932182	-0.408947
0.586332	-0.459884	-0.045582
0.820756	-0.997197	0.051783
0.297914	-0.627904	0.675707
-0.109565	-0.151626	-0.168522
-0.139941	-0.598597	-0.357955
-0.509596	-0.227839	-0.234638
0.275722	0.425935	-0.447704
0.753195	-0.062284	0.671014
0.497332	-1.013381	0.176599
1.601647	-1.520925	0.9316
0.539288	0.270409	0.763483
-0.730313	1.219562	-0.237536
-0.444332	0.047892	0.373586
1.315268	-0.007444	1.088115
1.075358	-0.204777	0.230374
1.884597	-2.342671	1.156632
0.696137	-1.256866	0.230112
-0.803466	1.119211	-0.990391
0.101211	-0.612349	0.541931
-0.084162	0.745303	-0.306119
-0.480466	-0.50144	0.517646
0.812772	-0.487726	0.412592
-0.390955	0.420803	0.397026
-0.259914	0.201703	-0.791584
-0.519339	0.970472	0.509596
-0.289218	-0.130624	0.095595
-1.323038	1.50792	-0.394261
0.143975	-0.546206	0.240159
0.267324	-0.401549	0.030242
0.827625	-0.490455	0.452932
-2.353049	1.020886	-1.699379
-0.185009	1.071031	0.205567
0.200537	-0.7814	-0.979607
0.26602	-0.50467	-1.31633
0.6595	-0.059741	0.315655
-1.009421	1.408711	-1.819418
2.151151	-1.341782	1.802864
1.9429	-1.05338	1.618899
-1.549362	1.154416	-1.304539
-0.306528	0.398893	0.343902
-0.533449	0.668075	-0.92755
-0.242114	0.531084	-0.295983
-0.155623	-0.165887	-1.084286
-0.893859	0.173092	-0.157821
0.815822	-0.215526	0.878686
-0.635234	0.24265	-0.794666
-1.21354	0.284795	-0.66372
-0.181705	1.185133	-0.862446
-1.177171	0.971346	0.384257
0.499378	-0.588276	0.672087
-0.388394	0.053024	0.954964
-0.259767	-0.680161	0.759167
1.756129	-1.705265	1.995181
1.787836	-1.083864	1.233409
0.541226	-0.750762	0.392882
-0.565193	-0.050162	-0.259905
0.446504	-0.201477	-0.493384
0.075012	-0.089138	-0.410398
-0.697974	-0.02679	-0.332359
1.801118	-1.882806	1.189539
1.967268	-1.111607	2.159652
0.227372	-0.849472	0.950484
1.411387	-2.012623	1.109461
-0.821709	0.029614	0.813304
0.671271	-0.208299	0.207652
0.18036	-0.076465	0.626034
-0.41141	-0.767904	-0.115017
0.79353	-1.46857	0.989046
0.77671	0.232164	1.194389
-1.34786	1.654604	-2.119938
-0.323069	1.021346	0.284511
0.164624	-0.693582	0.191039
-0.595938	1.311264	-1.083733
-0.286293	-0.205008	-0.347389
-1.033473	0.913488	-0.701086
-1.219918	1.660199	-1.441818
-0.256349	-0.448219	-0.246585
0.113185	0.025655	0.729482
-1.05465	-0.061168	-0.803264
-0.756791	0.105144	-0.88504
-0.409241	0.811544	-0.485314
-1.647562	1.752826	-1.582244
-1.335706	1.619432	0.115097
0.302431	-0.198276	0.544504
-0.74896	0.844355	-1.210559
-0.165872	-0.021428	-0.710005
-0.096677	-0.482295	0.581565
-0.588175	0.199749	-0.050617
0.685949	0.176552	0.114913
0.201923	-0.37239	0.36231
-0.466229	0.464843	-0.645939
-1.441597	1.200939	-1.720179
-0.988605	0.923835	-0.775353
-0.172018	0.908449	-0.500382
0.464499	-0.098751	0.347082
1.183277	-1.575741	2.059646
0.946239	-0.635657	0.501619
0.518389	-0.209747	0.459935
1.435394	-1.496277	-0.003583
-0.296799	0.702808	-0.013749
0.322927	-0.305641	0.847507
0.724434	-0.337191	1.554613
0.091136	-0.481879	1.710298
0.93824	-0.759652	0.214372
0.374888	-0.618506	0.446601
-0.794901	-0.606222	0.042459
0.364861	-0.084617	0.740842
0.502419	0.186289	1.234657
-0.170528	0.502619	0.009372
0.877173	-1.244594	1.253303
0.404141	-0.574547	0.385824
0.511885	0.470803	-0.185417
-1.624695	1.653289	-1.251079
-0.523088	0.095753	-0.903786
1.039185	-2.112109	0.898726
-0.303424	1.213473	-0.722317
-0.936381	1.704055	-1.031959
-0.043827	-0.135124	-0.772228
-1.495384	1.328358	-1.078256
-1.734666	1.332929	-1.116149
0.396566	-0.274821	0.933844
-0.38101	0.893523	-0.648452
0.214273	-0.932153	0.559473
0.27155	-0.896531	0.205282
-0.507734	-0.194304	-0.309007
-0.063636	0.067907	-0.105566
-0.075628	0.147406	-0.338088
-1.793729	1.65377	-0.270629
0.582374	1.06899	-1.462413
0.327953	-0.367015	0.490175
1.083947	-1.531568	1.557134
-0.047384	0.580464	-0.64897
0.705055	-0.927048	-0.107364
0.230998	-0.794259	-0.339696
0.297726	-0.874863	0.997476
-0.893297	-0.149943	-1.248882
-0.520553	-0.066274	-1.09792
-0.362125	0.401912	-1.043775
1.87873	-2.017894	1.481362
-1.669059	-0.295225	-0.112684
0.977371	-0.857544	0.567802
-0.373792	0.00335	-0.882759
-0.694952	2.104086	-0.734366
-1.455784	0.059811	-0.199251
1.100332	-0.541337	-0.257052
1.405044	-1.106687	0.740332
0.384079	-0.31901	0.810071
-0.188842	1.323319	-0.161623
-0.946167	0.66162	-0.56761
-1.089753	0.197019	-0.818845
0.924802	-1.729661	1.240489
0.289011	-1.003219	0.434941
1.003881	-2.144862	0.986901
1.49306	-1.493881	1.081684
-0.194197	1.168392	-1.176994
-1.406961	0.904673	-0.884241
0.152988	0.05347	-0.698047
0.164588	0.225135	-0.232021
-1.15079	0.171297	-0.760907
1.101622	-0.976414	0.674749
-0.16905	0.060026	-0.471326
1.720579	-2.315363	0.993005
-1.012141	1.244179	-0.856682
0.06923	-0.204397	0.698456
0.504872	-0.253891	-0.25976
-1.020678	0.14217	-0.480845
-0.654762	-0.559346	-0.304371
-0.714511	0.906963	-0.117803
0.152274	1.023839	0.289869
2.14433	-1.467565	1.04217
1.481137	-1.464859	1.313961
-0.016996	0.828215	0.061124
-0.873799	-0.17565	0.134839
0.556057	-0.997328	0.381206
0.014167	0.780497	-0.710159
1.507053	-1.656101	0.947626
-0.056407	0.738886	-0.943718
0.29423	-0.69932	-0.050515
-1.088319	1.345698	-1.771362
1.329611	-2.162324	1.32885
2.331735	-1.161219	1.555338
-0.10324	0.325222	-0.121593
0.719744	0.060468	0.981499
0.04078	-0.48849	0.214558
-2.23844	1.296108	-0.79451
0.971212	-0.599731	1.082504
0.101171	-0.041609	-0.207252
-0.370745	0.223	-0.060299
-1.594579	0.883461	-1.071704
-0.278831	0.790104	-0.13512
0.463395	-1.071702	0.383454
-0.191854	0.281841	0.569421
1.935164	-2.067392	0.953863
0.144642	-0.686996	0.767779
0.696038	-0.130562	0.736571
-0.975241	0.807042	-0.689699
0.049619	0.924786	0.474781
0.053651	-0.754081	0.397906
-0.987812	0.633031	0.372885
0.753986	-0.001358	0.834235
0.388074	-0.241997	0.914463
-0.481428	-0.220313	-0.48464
-0.292271	0.252837	0.137591
-0.353964	0.045333	-0.610423
-0.442835	0.649899	-0.813783
-0.136294	-0.101919	0.024911
0.783426	-1.115924	0.435249
0.619934	-0.349801	0.097948
-1.892695	1.651744	-1.660982
0.674621	0.092678	0.827067
-1.633227	1.545304	-0.426867
-0.316055	0.375624	-0.083834
-0.352354	-0.548234	0.455713
-1.470473	1.897812	-1.473545
-1.199439	-0.453779	-0.263953
-0.260407	0.431411	-0.105631
-0.649592	0.386167	0.156156
0.666175	-0.772942	0.443551
0.14837	-0.124289	-1.467694
-0.548453	0.863892	-0.205753
0.309382	-0.916306	0.360164
-2.01269	1.661104	-1.397633
1.028749	-0.6452	0.098837
0.263234	-0.342863	0.105929
-0.053743	0.148694	-0.213965
0.15632	-0.002902	0.547889
1.870858	-1.789429	2.181136
-0.212793	-0.216749	-1.629257
0.562046	-0.4836	0.250853
-0.616771	0.38022	0.329001
1.691088	-1.207457	1.862573
-0.1919	1.345306	-0.276747
-1.082798	0.317817	-1.001561
0.247437	-0.395207	0.267008
1.832154	-1.37102	1.678952
0.191375	-0.126432	0.350645
-0.191486	0.169231	-0.470905
-1.241621	0.060815	-0.727511
1.800105	-1.98824	-0.207798
-0.675744	0.559554	-0.053289
-0.860514	0.079409	-0.078213
-1.073351	1.257925	0.289534
0.190887	-0.193154	0.691136
0.460031	-0.540096	0.585708
